"","site","method","data","predictors","site_name","model_name","reg_eq","postproc","ME","MAE","RMSE","NSE","R","R.spear"
"1",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",0.0454338890253875,1.88874197894577,4.09711895617542,0.78085962642474,0.889512588804482,0.848426946384086
"2",10128500,"apr","rec","flow_lag","weber","10128500_apr_rec_flow_lag","l(flow, seq(-1,1))","",-0.278066948797096,1.64309485214222,3.69580601753315,0.821903063328375,0.908544114115291,0.900180733118629
"3",10128500,"apr","rec","clim_only","weber","10128500_apr_rec_clim_only","l(flow, seq(-1,1)) + ENSO + ENSO_short","",-0.270459017258027,1.59240977289951,3.54363665429747,0.837165204937632,0.916783134803387,0.900018257361708
"4",10128500,"apr","rec","clim_only_lag","weber","10128500_apr_rec_clim_only_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1))","",-0.268998701200853,1.5818523155443,3.48639568885023,0.842824421868545,0.919842278445829,0.901306597015
"5",10128500,"apr","rec","clim_pca_impute","weber","10128500_apr_rec_clim_pca_impute","l(flow, seq(-1,1)) + ENSO + ENSO_short + PC1 + PC2 + PC3 + PC4 + PC5 + PC6 + PC7 + PC8 + PC9","",-0.234002656786157,1.37138490934502,3.13951832455466,0.87249779746509,0.935770486631581,0.928009818365419
"6",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","",-0.234399366131696,1.33391873715863,3.00832870385957,0.882778335166971,0.941727493930141,0.939187503015674
"21",10128500,"apr","rec","flow_lag","weber","10128500_apr_rec_flow_lag","l(flow, seq(-1,1))","postproc",0.109130389944969,1.86646211664197,4.10253143610058,0.780546784754455,0.89022342322914,0.883010561094917
"31",10128500,"apr","rec","clim_only","weber","10128500_apr_rec_clim_only","l(flow, seq(-1,1)) + ENSO + ENSO_short","postproc",0.0194016605280329,1.7549589429333,3.84995214952335,0.807797290820931,0.901788548367965,0.884386251582056
"41",10128500,"apr","rec","clim_only_lag","weber","10128500_apr_rec_clim_only_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1))","postproc",0.0229832712168389,1.76672981104384,3.82873646573274,0.810441761640115,0.904008134337098,0.88906063404807
"51",10128500,"apr","rec","clim_pca_impute","weber","10128500_apr_rec_clim_pca_impute","l(flow, seq(-1,1)) + ENSO + ENSO_short + PC1 + PC2 + PC3 + PC4 + PC5 + PC6 + PC7 + PC8 + PC9","postproc",0.0295699546933787,1.4652950779478,3.23718597562861,0.864441441186663,0.93075110882788,0.918507307226459
"61",10128500,"apr","rec","clim_pca_impute_lag","weber","10128500_apr_rec_clim_pca_impute_lag","l(flow, seq(-1,1)) + l(ENSO,seq(-1,1)) + l(ENSO_short,seq(-1,1)) + l(PC1,seq(-1,1)) + l(PC2,seq(-1,1)) + l(PC3,seq(-1,1)) + l(PC4,seq(-1,1)) + l(PC5,seq(-1,1)) + l(PC6,seq(-1,1)) + l(PC7,seq(-1,1)) + l(PC8,seq(-1,1)) + l(PC9,seq(-1,1))","postproc",0.156222688573393,1.42578979524859,3.17998921670616,0.869018908658582,0.936418666110809,0.935091393164974
