"Component","Standard.deviation","Proportion.of.Variance","Cumulative.Proportion","EigenVal"
1,4.37939842119258,0.38358,0.38358,19.1791305315441
2,1.97388086305648,0.07792,0.46151,3.89620566154061
3,1.73837651510117,0.06044,0.52195,3.0219529082553
4,1.62632107023908,0.0529,0.57484,2.6449202235036
5,1.4363529462634,0.04126,0.61611,2.06310978623954
6,1.32727193882406,0.03523,0.65134,1.76165079958978
7,1.21886511423406,0.02971,0.68105,1.4856321666968
8,1.15674595902114,0.02676,0.70781,1.33806121371175
9,1.06819293460982,0.02282,0.73063,1.14103614555033
10,0.892596316407912,0.01593,0.74657,0.796728184064974
11,0.871629022375399,0.01519,0.76176,0.759737152647094
12,0.863784299515599,0.01492,0.77669,0.746123316089653
13,0.82127373576624,0.01349,0.79018,0.674490549059435
14,0.813247880092377,0.01323,0.8034,0.661372114474745
15,0.774061752273175,0.01198,0.81539,0.599171596332219
16,0.725739586643333,0.01053,0.82592,0.526697947621235
17,0.706950058409183,0.01,0.83592,0.499778385084748
18,0.701822115881105,0.00985,0.84577,0.492554282339831
19,0.694258278275455,0.00964,0.85541,0.481994556953999
20,0.666956598181994,0.0089,0.8643,0.444831103858497
